Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./jacobi-eden 3 3217 +RTS -N256",318.2944830356915,317.7519676881518,318.74005121213344,0.7029932708165362,0.0,0.7717467198332756
"bench/./jacobi-eden 3 3217 +RTS -N128",323.2216859424615,318.4783133301256,326.08698429917723,4.366642132417982,0.0,4.962842332675333
"bench/./jacobi-eden 3 3217 +RTS -N64",318.95283858384147,317.90237462806067,319.71897207214244,1.1618552970396,0.0,1.3269821271173146
"bench/./jacobi-eden 3 3217 +RTS -N32",360.70227831497823,356.9000800941544,364.1436525973377,5.674025196514964,0.0,5.960635104907316
"bench/./jacobi-eden 3 3217 +RTS -N16",451.5599726031766,447.8964681965602,454.2252246866335,4.039609740413705,0.0,4.6163520235262405
"bench/./jacobi-eden 3 3217 +RTS -N8",634.6416689860038,629.669916649079,637.3732990188308,4.36832870002235,0.0,4.731322004337394
"bench/./jacobi-eden 3 3217 +RTS -N4",1074.0308612591198,1072.4144458319363,1074.9031344110479,1.412989224456637,0.0,1.5108214172178196
"bench/./jacobi-eden 3 3217 +RTS -N2",1814.5854753533092,1807.1950817173954,1819.9541887267726,8.134454961723312,0.0,9.298884334113078
"bench/./jacobi-eden 3 3217 +RTS -N1",3486.739033675538,3484.3323060786956,3488.123305372203,2.1537878964457806,0.0,2.3976289101043307
"bench/./jacobi-parr 3 3217 +RTS -N256",319.2997770598079,317.9423715295877,320.12888710214503,1.259171740268168,0.0,1.4360607183935166
"bench/./jacobi-parr 3 3217 +RTS -N128",320.7254869732927,319.11915676610244,321.6111657924113,1.4129752899977894,0.0,1.5340407139010788
"bench/./jacobi-parr 3 3217 +RTS -N64",317.87796714042247,314.3998174822984,319.9760656177161,3.1989413253663828,0.0,3.6340131619553526
"bench/./jacobi-parr 3 3217 +RTS -N32",355.76658311971806,350.94240907629256,361.4243728537517,5.29047044200345,0.0,6.051764608551918
"bench/./jacobi-parr 3 3217 +RTS -N16",434.87154652912204,433.9667404136296,435.45404259087786,0.875398930319473,0.0,1.0089127741697912
"bench/./jacobi-parr 3 3217 +RTS -N8",634.0922761328646,632.1618334562821,635.8050960923774,2.7973362296565747,0.0,2.966691194094212
"bench/./jacobi-parr 3 3217 +RTS -N4",1075.0272358115683,1074.3417013912137,1075.5672609788323,0.8382507953017571,0.0,0.9353510270669497
"bench/./jacobi-parr 3 3217 +RTS -N2",1816.6438898979088,1812.0813993635263,1820.8966144266772,7.112862589471141,0.0,7.365934954420914
"bench/./jacobi-parr 3 3217 +RTS -N1",3512.1510144363388,3500.6948743355765,3519.5143506928994,11.067936555286904,0.0,12.753672509575956
